PID: 0 | TP: 3940 | CP: 3941 | EP: PRONTO | NES: 50 | N_CPU: 50 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 3940 | CP: 3941 | EP: EXECUTANDO | NES: 50 | N_CPU: 51 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 4108 | CP: 4109 | EP: BLOQUEADO | NES: 51 | N_CPU: 51 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 4108 | CP: 4109 | EP: EXECUTANDO | NES: 51 | N_CPU: 52 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 4150 | CP: 4151 | EP: BLOQUEADO | NES: 52 | N_CPU: 52 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 4150 | CP: 4151 | EP: PRONTO | NES: 52 | N_CPU: 52 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 4150 | CP: 4151 | EP: EXECUTANDO | NES: 52 | N_CPU: 53 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 4371 | CP: 4372 | EP: BLOQUEADO | NES: 53 | N_CPU: 53 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 4371 | CP: 4372 | EP: EXECUTANDO | NES: 53 | N_CPU: 54 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 4609 | CP: 4610 | EP: BLOQUEADO | NES: 54 | N_CPU: 54 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 4609 | CP: 4610 | EP: EXECUTANDO | NES: 54 | N_CPU: 55 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 4715 | CP: 4716 | EP: BLOQUEADO | NES: 55 | N_CPU: 55 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 4715 | CP: 4716 | EP: EXECUTANDO | NES: 55 | N_CPU: 56 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 4831 | CP: 4832 | EP: BLOQUEADO | NES: 56 | N_CPU: 56 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 4831 | CP: 4832 | EP: EXECUTANDO | NES: 56 | N_CPU: 57 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 4846 | CP: 4847 | EP: BLOQUEADO | NES: 57 | N_CPU: 57 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 4846 | CP: 4847 | EP: EXECUTANDO | NES: 57 | N_CPU: 58 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 4933 | CP: 4934 | EP: BLOQUEADO | NES: 58 | N_CPU: 58 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 4933 | CP: 4934 | EP: EXECUTANDO | NES: 58 | N_CPU: 59 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5065 | CP: 5066 | EP: BLOQUEADO | NES: 59 | N_CPU: 59 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5065 | CP: 5066 | EP: PRONTO | NES: 59 | N_CPU: 59 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 5065 | CP: 5066 | EP: EXECUTANDO | NES: 59 | N_CPU: 60 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5224 | CP: 5225 | EP: BLOQUEADO | NES: 60 | N_CPU: 60 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5224 | CP: 5225 | EP: PRONTO | NES: 60 | N_CPU: 60 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 5224 | CP: 5225 | EP: EXECUTANDO | NES: 60 | N_CPU: 61 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5272 | CP: 5273 | EP: BLOQUEADO | NES: 61 | N_CPU: 61 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5272 | CP: 5273 | EP: PRONTO | NES: 61 | N_CPU: 61 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 5272 | CP: 5273 | EP: EXECUTANDO | NES: 61 | N_CPU: 62 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5274 | CP: 5275 | EP: BLOQUEADO | NES: 62 | N_CPU: 62 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5274 | CP: 5275 | EP: EXECUTANDO | NES: 62 | N_CPU: 63 | Ação: PRONTO >>> EXECUTANDO
